
   DEPT[M]  ROLL_(ATV)  TILT_(ATV)  AZIMUTH_(A
     19.5469     239.900     38.8000     359.400
     19.5569     239.800     38.9000     359.333
     19.5669     239.700     39.0000     359.267
     19.5769     239.600     39.1000     359.200
     19.5869     238.850     38.9000     358.750
     19.5969     238.100     38.7000     358.300
     19.6069     237.767     38.7000     358.400
     19.6169     237.433     38.7000     358.500
     19.6269     237.100     38.7000     358.600
     19.6369     236.900     38.7000     358.767
     19.6469     236.700     38.7000     358.933
     19.6569     236.500     38.7000     359.100
     19.6669     235.950     38.7000     359.250
     19.6769     235.400     38.7000     359.400
     19.6869     235.300     38.7000     359.233
     19.6969     235.200     38.7000     359.067
     19.7069     235.100     38.7000     358.900
     19.7169     235.300     38.7000     358.800
     19.7269     235.500     38.7000     358.700
     19.7369     236.133     38.6667     358.900
     19.7469     236.767     38.6333     359.100
     19.7569     237.400     38.6000     359.300
     19.7669     238.400     38.6333     359.400
     19.7769     239.400     38.6667     359.500
     19.7869     240.400     38.7000     359.600
     19.7969     240.850     38.6500     359.350
     19.8069     241.300     38.6000     359.100
     19.8169     241.633     38.6000     359.000
     19.8269     241.967     38.6000     358.900
     19.8369     242.300     38.6000     358.800
     19.8469     243.150     38.7500     359.200
     19.8569     244.000     38.9000     359.600
     19.8669     244.167     38.8000     359.567
     19.8769     244.333     38.7000     359.533
     19.8869     244.500     38.6000     359.500
     19.8969     244.633     38.6333     359.467
     19.9069     244.767     38.6667     359.433
     19.9169     244.900     38.7000     359.400
     19.9269     245.050     38.6500     359.550
     19.9369     245.200     38.6000     359.700
     19.9469     245.233     38.5667     359.467
     19.9569     245.267     38.5333     359.233
     19.9669     245.300     38.5000     359.000
     19.9769     245.700     38.4000     359.000
     19.9869     246.100     38.3000     359.000
     19.9969     246.167     38.4333     359.267
     20.0069     246.233     38.5667     359.533
     20.0169     246.300     38.7000     359.800
     20.0269     245.950     38.8000     359.450
     20.0369     245.600     38.9000     359.100
     20.0469     245.633     38.9667     359.100
     20.0569     245.667     39.0333     359.100
     20.0669     245.700     39.1000     359.100
     20.0769     245.500     39.0000     359.133
     20.0869     245.300     38.9000     359.167
     20.0969     245.100     38.8000     359.200
     20.1069     245.250     38.6500     359.350
     20.1169     245.400     38.5000     359.500
     20.1269     245.400     38.6667     359.533
     20.1369     245.400     38.8333     359.567
     20.1469     245.400     39.0000     359.600
     20.1569     244.300     39.0000     359.250
     20.1669     243.200     39.0000     358.900
     20.1769     242.900     38.9333     358.967
     20.1869     242.600     38.8667     359.033
     20.1969     242.300     38.8000     359.100
     20.2069     242.200     38.8000     359.100
     20.2169     242.100     38.8000     359.100
     20.2269     241.800     38.8667     358.967
     20.2369     241.500     38.9333     358.833
     20.2469     241.200     39.0000     358.700
     20.2569     241.267     39.0667     358.700
     20.2669     241.333     39.1333     358.700
     20.2769     241.400     39.2000     358.700
     20.2869     241.867     39.0333     358.933
     20.2969     242.333     38.8667     359.167
     20.3069     242.800     38.7000     359.400
     20.3169     243.500     38.6000     359.200
     20.3269     244.200     38.5000     359.000
     20.3369     244.533     38.6333     359.133
     20.3469     244.867     38.7667     359.267
     20.3569     245.200     38.9000     359.400
     20.3669     245.033     38.9000     359.367
     20.3769     244.867     38.9000     359.333
     20.3869     244.700     38.9000     359.300
     20.3969     243.750     38.8500     359.100
     20.4069     242.800     38.8000     358.900
     20.4169     242.933     38.7667     358.967
     20.4269     243.067     38.7333     359.033
     20.4369     243.200     38.7000     359.100
     20.4469     243.700     38.6500     359.250
     20.4569     244.200     38.6000     359.400
     20.4669     243.600     38.5333     359.267
     20.4769     243.000     38.4667     359.133
     20.4869     242.400     38.4000     359.000
     20.4969     242.367     38.5000     359.067
     20.5069     242.333     38.6000     359.133
     20.5169     242.300     38.7000     359.200
     20.5269     242.150     38.6000     359.250
     20.5369     242.000     38.5000     359.300
     20.5469     241.767     38.4667     359.233
     20.5569     241.533     38.4333     359.167
     20.5669     241.300     38.4000     359.100
     20.5769     241.300     38.4500     359.100
     20.5869     241.300     38.5000     359.100
     20.5969     241.200     38.5333     359.167
     20.6069     241.100     38.5667     359.233
     20.6169     241.000     38.6000     359.300
     20.6269     240.767     38.5333     359.233
     20.6369     240.533     38.4667     359.167
     20.6469     240.300     38.4000     359.100
     20.6569     240.750     38.5000     359.050
     20.6669     241.200     38.6000     359.000
     20.6769     242.033     38.5667     359.067
     20.6869     242.867     38.5333     359.133
     20.6969     243.700     38.5000     359.200
     20.7069     244.700     38.5500     359.150
     20.7169     245.700     38.6000     359.100
     20.7269     246.433     38.6667     359.300
     20.7369     247.167     38.7333     359.500
     20.7469     247.900     38.8000     359.700
     20.7569     248.650     38.8500     359.500
     20.7669     249.400     38.9000     359.300
     20.7769     249.700     38.8333     359.100
     20.7869     250.000     38.7667     358.900
     20.7969     250.300     38.7000     358.700
     20.8069     251.500     38.7000     359.000
     20.8169     252.700     38.7000     359.300
     20.8269     253.033     38.7667     359.233
     20.8369     253.367     38.8333     359.167
     20.8469     253.700     38.9000     359.100
     20.8569     253.533     38.9000     359.267
     20.8669     253.367     38.9000     359.433
     20.8769     253.200     38.9000     359.600
     20.8869     252.000     38.9000     359.100
     20.8969     250.800     38.9000     358.600
     20.9069     250.400     38.7000     358.433
     20.9169     250.000     38.5000     358.267
     20.9269     249.600     38.3000     358.100
     20.9369     250.067     38.4667     358.600
     20.9469     250.533     38.6333     359.100
     20.9569     251.000     38.8000     359.600
     20.9669     250.100     38.8500     359.050
     20.9769     249.200     38.9000     358.500
     20.9869     248.800     38.8667     358.500
     20.9969     248.400     38.8333     358.500
     21.0069     248.000     38.8000     358.500
     21.0169     248.350     38.8500     358.600
     21.0269     248.700     38.9000     358.700
     21.0369     248.967     38.9667     358.567
     21.0469     249.233     39.0333     358.433
     21.0569     249.500     39.1000     358.300
     21.0669     249.767     39.0333     358.433
     21.0769     250.033     38.9667     358.567
     21.0869     250.300     38.9000     358.700
     21.0969     250.150     38.8500     358.800
     21.1069     250.000     38.8000     358.900
     21.1169     249.867     38.9000     358.867
     21.1269     249.733     39.0000     358.833
     21.1369     249.600     39.1000     358.800
     21.1469     249.550     39.0000     359.100
     21.1569     249.500     38.9000     359.400
     21.1669     248.967     39.0000     359.167
     21.1769     248.433     39.1000     358.933
     21.1869     247.900     39.2000     358.700
     21.1969     247.500     39.0333     358.467
     21.2069     247.100     38.8667     358.233
     21.2169     246.700     38.7000     358.000
     21.2269     246.900     38.5500     358.250
     21.2369     247.100     38.4000     358.500
     21.2469     247.133     38.5333     358.733
     21.2569     247.167     38.6667     358.967
     21.2669     247.200     38.8000     359.200
     21.2769     246.500     38.7333     359.033
     21.2869     245.800     38.6667     358.867
     21.2969     245.100     38.6000     358.700
     21.3069     244.350     38.7500     358.700
     21.3169     243.600     38.9000     358.700
     21.3269     243.500     38.7667     358.700
     21.3369     243.400     38.6333     358.700
     21.3469     243.300     38.5000     358.700
     21.3569     243.150     38.5500     358.600
     21.3669     243.000     38.6000     358.500
     21.3769     243.033     38.6667     358.667
     21.3869     243.067     38.7333     358.833
     21.3969     243.100     38.8000     359.000
     21.4069     243.067     38.7667     358.867
     21.4169     243.033     38.7333     358.733
     21.4269     243.000     38.7000     358.600
     21.4369     243.200     38.6500     358.550
     21.4469     243.400     38.6000     358.500
     21.4569     243.467     38.6333     358.467
     21.4669     243.533     38.6667     358.433
     21.4769     243.600     38.7000     358.400
     21.4869     243.600     38.7000     358.450
     21.4969     243.600     38.7000     358.500
     21.5069     243.667     38.7333     358.567
     21.5169     243.733     38.7667     358.633
     21.5269     243.800     38.8000     358.700
     21.5369     244.000     38.7500     358.650
     21.5469     244.200     38.7000     358.600
     21.5569     244.167     38.7333     358.533
